0;1;2;3;4;5;6;7;tabela_origem;arquivo_origem;ano_origem;8
Meteorologia (Bac) - integral - Bauru;40;8;0;0;5;3;8;5;2017-47-58.pdf;2017;
Química - Bac em Química Ambiental Tecnológica e Lic em Química - noturno - Bauru;40;4;2;1;4;3;7;5;2017-47-58.pdf;2017;
Sistemas de Informação (Bac) - noturno - Bauru;40;1;1;1;3;0;3;5;2017-47-58.pdf;2017;
Arquitetura e Urbanismo - integral - Bauru;45;1;0;1;1;1;2;9;2017-47-58.pdf;2017;
Artes Visuais (Bac/Lic) - vespertino/noturno - Bauru;40;4;0;0;0;4;4;9;2017-47-58.pdf;2017;
Comunicação Social - Jornalismo - diurno - Bauru;40;2;1;0;1;2;3;9;2017-47-58.pdf;2017;
Comunicação Social - Jornalismo - noturno - Bauru;50;1;1;4;3;3;6;9;2017-47-58.pdf;2017;
Comunicação Social - Radialismo - diurno - Bauru;30;0;0;0;0;0;0;9;2017-47-58.pdf;2017;
Design (Design Gráfico ou Design de Produto) - noturno - Bauru;60;3;0;0;3;0;3;9;2017-47-58.pdf;2017;
Design (Design Gráfico) - diurno - Bauru;30;2;0;1;1;2;3;9;2017-47-58.pdf;2017;
Pedagogia (Lic) - noturno - Bauru;40;6;1;0;0;7;7;10;2017-47-58.pdf;2017;
Psicologia - integral - Bauru;35;3;0;1;2;2;4;10;2017-47-58.pdf;2017;
Psicologia - noturno - Bauru;35;0;0;1;1;0;1;10;2017-47-58.pdf;2017;
Relações Públicas - noturno - Bauru;50;2;2;0;3;1;4;10;2017-47-58.pdf;2017;
Ciências Biológicas - Bacharelado e Licenciatura - integral - Bauru;40;5;0;1;2;4;6;2;2018-47-58.pdf;2018;
Ciências Biológicas - Licenciatura - noturno - Bauru;40;4;2;0;2;4;6;2;2018-47-58.pdf;2018;
Educação Física - Bacharelado e Licenciatura - integral - Bauru;40;3;1;0;2;2;4;2;2018-47-58.pdf;2018;
Educação Física - Bacharelado e Licenciatura - noturno - Bauru;40;3;2;0;5;0;5;2;2018-47-58.pdf;2018;
Ciência da Computação - Bacharelado - integral - Bauru;30;6;0;1;2;5;7;5;2018-47-58.pdf;2018;
Engenharia Civil - integral - Bauru;60;4;2;2;4;4;8;5;2018-47-58.pdf;2018;
Engenharia Elétrica - integral - Bauru;60;2;0;3;4;1;5;5;2018-47-58.pdf;2018;
Engenharia Mecânica - integral - Bauru;60;4;4;7;16;0;16;5;2018-47-58.pdf;2018;
"F�sica - Bacharelado em F�sica de Materiais - vespertino/noturno e Licenciatura em F�sica -
noturno - Bauru";60;9;0;0;5;4;9;5;2018-47-58.pdf;2018;
Matemática - Licenciatura - noturno - Bauru;40;8;1;3;3;9;12;5;2018-47-58.pdf;2018;
Meteorologia - Bacharelado - integral - Bauru;40;4;0;0;2;2;4;5;2018-47-58.pdf;2018;
"Qu�mica - Bacharelado em Qu�mica Ambiental Tecnol�gica e Licenciatura em Qu�mica -
noturno - Bauru";40;5;1;0;5;1;6;5;2018-47-58.pdf;2018;
Sistemas de Informação - Bacharelado - noturno - Bauru;40;5;1;2;7;1;8;5;2018-47-58.pdf;2018;
Arquitetura e Urbanismo - integral - Bauru;45;0;0;2;1;1;2;9;2018-47-58.pdf;2018;
Artes Visuais - Bacharelado e Licenciatura - vespertino/noturno - Bauru;40;2;0;0;0;2;2;9;2018-47-58.pdf;2018;
Comunicação Social - Jornalismo - diurno - Bauru;40;7;2;0;2;7;9;9;2018-47-58.pdf;2018;
Comunicação Social - Jornalismo - noturno - Bauru;50;2;0;1;1;2;3;9;2018-47-58.pdf;2018;
Comunicação Social - Radialismo - diurno - Bauru;30;2;1;0;1;2;3;9;2018-47-58.pdf;2018;
Design (Design Gráﬁ co ou Design de Produto) - noturno - Bauru;60;4;0;1;3;2;5;9;2018-47-58.pdf;2018;
Design (Design Gráﬁ co) - diurno - Bauru;30;5;0;1;2;4;6;9;2018-47-58.pdf;2018;
Pedagogia - Licenciatura - noturno - Bauru;40;3;1;0;0;5;5;10;2018-47-58.pdf;2018;
Psicologia - integral - Bauru;35;5;0;0;3;2;5;10;2018-47-58.pdf;2018;
Psicologia - noturno - Bauru;35;0;0;0;0;0;0;10;2018-47-58.pdf;2018;
Relações Públicas - noturno - Bauru;50;2;0;2;1;3;4;10;2018-47-58.pdf;2018;
Ciências Biológicas - Bacharelado e Licenciatura - integral - Bauru;40;8;0;1;5;4;9;2;2019-47-58.pdf;2019;
Ciências Biológicas - Licenciatura - noturno - Bauru;40;2;0;0;0;2;2;2;2019-47-58.pdf;2019;
Educação Física - Bacharelado - integral - Bauru;20;4;0;1;4;1;5;2;2019-47-58.pdf;2019;
Educação Física - Bacharelado - noturno - Bauru;20;3;0;0;2;1;3;2;2019-47-58.pdf;2019;
Educação Física - Licenciatura - integral - Bauru;20;3;0;1;3;1;4;2;2019-47-58.pdf;2019;
Educação Física - Licenciatura - noturno - Bauru;20;7;0;0;4;3;7;2;2019-47-58.pdf;2019;
Ciência da Computação - Bacharelado - integral - Bauru;30;7;0;1;7;1;8;5;2019-47-58.pdf;2019;
Engenharia Civil - integral - Bauru;60;13;0;1;9;5;14;5;2019-47-58.pdf;2019;
Engenharia Elétrica - integral - Bauru;60;4;0;4;7;1;8;5;2019-47-58.pdf;2019;
Engenharia Mecânica - integral - Bauru;60;8;0;2;8;2;10;5;2019-47-58.pdf;2019;
"F�sica - Bacharelado em F�sica de Materiais - vespertino/noturno e Licenciatura em F�sica -
noturno - Bauru";60;8;0;1;6;3;0;5;2019-47-58.pdf;2019;
Matemática - Licenciatura - noturno - Bauru;40;9;0;2;3;8;11;5;2019-47-58.pdf;2019;
Meteorologia - Bacharelado - integral - Bauru;40;4;0;0;2;2;4;5;2019-47-58.pdf;2019;
Química - Bacharelado em Química Ambiental Tecnológica - noturno - Bauru;20;4;0;0;3;1;4;5;2019-47-58.pdf;2019;
Química - Licenciatura em Química - noturno - Bauru;20;3;0;0;2;1;3;5;2019-47-58.pdf;2019;
Sistemas de Informação - Bacharelado - noturno - Bauru;40;6;0;1;6;1;7;5;2019-47-58.pdf;2019;
Arquitetura e Urbanismo - integral - Bauru;45;9;0;0;3;6;9;9;2019-47-58.pdf;2019;
Artes Visuais - Bacharelado e Licenciatura - vespertino/noturno - Bauru;40;2;0;0;1;1;2;9;2019-47-58.pdf;2019;
Comunicação Social - Jornalismo - diurno - Bauru;40;3;0;0;1;2;3;9;2019-47-58.pdf;2019;
Comunicação Social - Jornalismo - noturno - Bauru;50;6;0;0;0;6;6;9;2019-47-58.pdf;2019;
Comunicação Social - Radialismo - diurno - Bauru;30;1;0;0;0;1;1;9;2019-47-58.pdf;2019;
Design (Design Gráﬁ co ou Design de Produto) - noturno - Bauru;60;5;0;0;1;4;5;9;2019-47-58.pdf;2019;
Design (Design Gráﬁ co) - diurno - Bauru;30;8;0;0;3;5;8;9;2019-47-58.pdf;2019;
Pedagogia - Licenciatura - noturno - Bauru;40;8;0;0;1;7;8;10;2019-47-58.pdf;2019;
Psicologia - integral - Bauru;35;3;0;0;1;2;3;10;2019-47-58.pdf;2019;
Psicologia - noturno - Bauru;35;1;0;0;1;0;1;10;2019-47-58.pdf;2019;
Relações Públicas - noturno - Bauru;50;7;0;0;3;4;7;10;2019-47-58.pdf;2019;
Ciências Biológicas - Bacharelado e Licenciatura - integral - Bauru;40;7;1;0;2;6;8;2;2020-47-58.pdf;2020;
Ciências Biológicas - Licenciatura - noturno - Bauru;40;2;2;0;1;3;4;2;2020-47-58.pdf;2020;
Educação Física - Bacharelado - integral - Bauru;20;2;2;1;2;3;5;2;2020-47-58.pdf;2020;
Educação Física - Bacharelado - noturno - Bauru;20;0;2;0;2;0;2;2;2020-47-58.pdf;2020;
Educação Física - Licenciatura - integral - Bauru;20;2;1;0;2;1;3;2;2020-47-58.pdf;2020;
Educação Física - Licenciatura - noturno - Bauru;20;6;2;0;5;3;8;2;2020-47-58.pdf;2020;
Ciência da Computação - Bacharelado - integral - Bauru;30;1;4;4;8;1;9;5;2020-47-58.pdf;2020;
Engenharia Civil - integral - Bauru;60;3;6;2;8;3;11;5;2020-47-58.pdf;2020;
Engenharia de Produção - noturno - Bauru;40;3;3;1;4;3;7;5;2020-47-58.pdf;2020;
