0;1;2;3;4;5;6;7;tabela_origem;arquivo_origem;ano_origem;8
Meteorologia - Bacharelado - integral - Bauru;30;0;0;0;0;0;0;5;2024-47-58.pdf;2024;
Química - Bacharelado em Química Tecnológica - vespertino-noturno - Bauru;18;2;1;2;1;4;5;5;2024-47-58.pdf;2024;
Química - Licenciatura - noturno - Bauru;18;1;1;0;0;2;2;5;2024-47-58.pdf;2024;
Sistemas de Informação - Bacharelado - noturno - Bauru;36;1;2;0;2;1;3;5;2024-47-58.pdf;2024;
Arquitetura e Urbanismo - integral - Bauru;45;1;0;1;0;2;2;9;2024-47-58.pdf;2024;
Artes Visuais - Bacharelado e Licenciatura - vespertino/noturno - Bauru;40;1;1;0;2;0;2;9;2024-47-58.pdf;2024;
Comunica��o: R�dio, Televis�o e Internet - integral - Bauru;27;0;1;0;0;1;1;9;2024-47-58.pdf;2024;
Design - integral - Bauru;30;2;0;0;2;0;2;9;2024-47-58.pdf;2024;
Design - noturno - Bauru;60;5;1;0;4;2;6;9;2024-47-58.pdf;2024;
Jornalismo - matutino - Bauru;36;3;3;0;2;4;6;9;2024-47-58.pdf;2024;
Jornalismo - noturno - Bauru;45;3;1;1;3;2;5;9;2024-47-58.pdf;2024;
Pedagogia - Licenciatura - noturno - Bauru;45;3;1;0;1;3;4;10;2024-47-58.pdf;2024;
Psicologia - integral - Bauru;31;0;0;1;0;1;1;10;2024-47-58.pdf;2024;
Psicologia - noturno - Bauru;31;0;0;0;0;0;0;10;2024-47-58.pdf;2024;
Relações Públicas - noturno - Bauru;45;1;1;1;0;3;3;10;2024-47-58.pdf;2024;
