0;1;2;3;4;5;6;7;tabela_origem;arquivo_origem;ano_origem
Comunicação Social (Radialismo) - diurno - Bauru;30;1;0;2;2;1;3;12;2015-45-56.pdf;2015
Comunicação Social (Relações Públicas) - noturno - Bauru;50;2;1;1;2;2;4;12;2015-45-56.pdf;2015
Design (Design Gráﬁ co ou de Produto) - noturno - Bauru;60;6;2;0;5;3;8;12;2015-45-56.pdf;2015
Design (Design Gráﬁ co) - diurno - Bauru;30;2;0;0;2;0;2;12;2015-45-56.pdf;2015
Ciências Biológicas (Bac/Lic) - integral - Bauru;40;10;0;2;2;10;12;3;2016-47-58.pdf;2016
Ciências Biológicas (Lic) - noturno - Bauru;40;7;1;0;6;2;8;3;2016-47-58.pdf;2016
Educação Física (Bac/Lic) - integral - Bauru;40;3;0;0;1;2;3;3;2016-47-58.pdf;2016
Educação Física (Bac/Lic) - noturno - Bauru;40;2;0;0;1;1;2;3;2016-47-58.pdf;2016
Ciência da Computação (Bac) - integral - Bauru;30;3;1;2;4;2;6;6;2016-47-58.pdf;2016
Engenharia Civil - integral - Bauru;60;5;3;2;9;1;10;6;2016-47-58.pdf;2016
Engenharia Elétrica - integral - Bauru;60;5;2;2;8;1;9;6;2016-47-58.pdf;2016
Engenharia Mecânica - integral - Bauru;60;2;3;1;6;0;6;6;2016-47-58.pdf;2016
Física (Lic - noturno) / (Bac em Física de Materiais - vespertino/noturno)  - Bauru;60;9;4;1;11;3;14;6;2016-47-58.pdf;2016
Matemática (Lic) - noturno - Bauru;40;7;0;1;5;3;8;6;2016-47-58.pdf;2016
Meteorologia (Bac) - integral - Bauru;40;3;0;6;4;5;9;6;2016-47-58.pdf;2016
Química (Bac em Química Ambiental Tecnológica / Lic em Química) - noturno - Bauru;40;7;0;0;3;4;7;6;2016-47-58.pdf;2016
Sistemas de Informação (Bac) - noturno - Bauru;40;8;2;3;9;4;13;6;2016-47-58.pdf;2016
Arquitetura e Urbanismo - integral - Bauru;45;5;1;1;4;3;7;11;2016-47-58.pdf;2016
Artes Visuais (Bac/Lic) - vespertino/noturno - Bauru;40;5;0;0;2;3;5;11;2016-47-58.pdf;2016
Comunicação Social (Jornalismo) - diurno - Bauru;40;0;0;0;0;0;0;11;2016-47-58.pdf;2016
Comunicação Social (Jornalismo) - noturno - Bauru;50;5;0;2;2;5;7;11;2016-47-58.pdf;2016
Comunicação Social (Radialismo) - diurno - Bauru;30;4;0;0;3;1;4;11;2016-47-58.pdf;2016
Comunicação Social (Relações Públicas) - noturno - Bauru;50;4;2;0;3;3;6;11;2016-47-58.pdf;2016
Design (Design Gráﬁ co ou de Produto)- noturno - Bauru;60;9;0;0;4;5;9;11;2016-47-58.pdf;2016
Design (Design Gráﬁ co)- diurno - Bauru;30;2;1;0;2;1;3;11;2016-47-58.pdf;2016
Pedagogia (Lic) - noturno - Bauru;40;5;1;0;2;4;6;12;2016-47-58.pdf;2016
Psicologia - integral - Bauru;35;1;1;0;1;1;2;12;2016-47-58.pdf;2016
Psicologia - noturno - Bauru;35;3;0;0;0;3;3;12;2016-47-58.pdf;2016
Ciências Biológicas (Bac/Lic) - integral - Bauru;40;6;1;1;3;5;8;3;2017-47-58.pdf;2017
Ciências Biológicas (Lic) - noturno - Bauru;40;10;0;2;6;6;12;3;2017-47-58.pdf;2017
Educação Física (Bac/Lic) - integral - Bauru;40;7;2;1;7;3;10;3;2017-47-58.pdf;2017
Educação Física (Bac/Lic) - noturno - Bauru;40;15;1;2;12;6;18;3;2017-47-58.pdf;2017
Ciência da Computação (Bac) - integral - Bauru;30;6;0;3;8;1;9;6;2017-47-58.pdf;2017
Engenharia Civil - integral - Bauru;60;4;1;9;9;5;14;6;2017-47-58.pdf;2017
Engenharia Elétrica - integral - Bauru;60;4;1;6;10;1;11;6;2017-47-58.pdf;2017
Engenharia Mecânica - integral - Bauru;60;3;1;9;12;1;13;6;2017-47-58.pdf;2017
"F�sica - Bacharelado em F�sica dos Materiais - vespertino/noturno e Licenciatura em
F�sica - noturno - Bauru";60;11;1;3;13;2;15;6;2017-47-58.pdf;2017
Matemática (Lic) - noturno - Bauru;40;5;0;3;5;3;8;6;2017-47-58.pdf;2017
Meteorologia (Bac) - integral - Bauru;40;6;0;3;6;3;9;6;2017-47-58.pdf;2017
Química - Bac em Química Ambiental Tecnológica e Lic em Química - noturno - Bauru;40;7;0;1;2;6;8;6;2017-47-58.pdf;2017
Sistemas de Informação (Bac) - noturno - Bauru;40;9;2;2;7;6;13;6;2017-47-58.pdf;2017
Arquitetura e Urbanismo - integral - Bauru;45;1;0;3;2;2;4;11;2017-47-58.pdf;2017
Artes Visuais (Bac/Lic) - vespertino/noturno - Bauru;40;10;1;1;4;8;12;11;2017-47-58.pdf;2017
Comunicação Social - Jornalismo - diurno - Bauru;40;2;1;3;1;5;6;11;2017-47-58.pdf;2017
Comunicação Social - Jornalismo - noturno - Bauru;50;8;3;0;2;9;11;11;2017-47-58.pdf;2017
Comunicação Social - Radialismo - diurno - Bauru;30;4;1;2;2;5;7;11;2017-47-58.pdf;2017
Design (Design Gráfico ou Design de Produto) - noturno - Bauru;60;10;1;0;6;5;11;11;2017-47-58.pdf;2017
Design (Design Gráfico) - diurno - Bauru;30;5;0;0;5;0;5;11;2017-47-58.pdf;2017
Pedagogia (Lic) - noturno - Bauru;40;12;0;0;2;10;12;12;2017-47-58.pdf;2017
Psicologia - integral - Bauru;35;7;0;1;2;6;8;12;2017-47-58.pdf;2017
Psicologia - noturno - Bauru;35;2;1;1;0;4;4;12;2017-47-58.pdf;2017
Relações Públicas - noturno - Bauru;50;6;2;4;5;7;12;12;2017-47-58.pdf;2017
Ciências Biológicas - Bacharelado e Licenciatura - integral - Bauru;40;6;3;1;4;6;10;3;2018-47-58.pdf;2018
Ciências Biológicas - Licenciatura - noturno - Bauru;40;10;1;1;5;7;12;3;2018-47-58.pdf;2018
Educação Física - Bacharelado e Licenciatura - integral - Bauru;40;7;2;1;4;6;10;3;2018-47-58.pdf;2018
Educação Física - Bacharelado e Licenciatura - noturno - Bauru;40;6;2;0;5;3;8;3;2018-47-58.pdf;2018
Ciência da Computação - Bacharelado - integral - Bauru;30;0;0;1;1;0;1;6;2018-47-58.pdf;2018
Engenharia Civil - integral - Bauru;60;2;2;3;5;2;7;6;2018-47-58.pdf;2018
Engenharia Elétrica - integral - Bauru;60;6;0;6;11;1;12;6;2018-47-58.pdf;2018
Engenharia Mecânica - integral - Bauru;60;1;3;2;4;2;6;6;2018-47-58.pdf;2018
"F�sica - Bacharelado em F�sica de Materiais - vespertino/noturno e Licenciatura em
F�sica - noturno - Bauru";60;12;2;3;14;4;18;6;2018-47-58.pdf;2018
Matemática - Licenciatura - noturno - Bauru;40;6;0;4;5;5;10;6;2018-47-58.pdf;2018
Meteorologia - Bacharelado - integral - Bauru;40;6;2;1;6;3;9;6;2018-47-58.pdf;2018
"Qu�mica - Bacharelado em Qu�mica Ambiental Tecnol�gica e Licenciatura em Qu�mica
- noturno - Bauru";40;7;2;0;5;4;9;6;2018-47-58.pdf;2018
