0;1;2;3;4;5;6;7;8;tabela_origem;arquivo_origem;ano_origem;9;
Comunicação Social (Relações Públicas) - noturno - Bauru;50;3;0;2;0;;5;5;10;2015-45-56.pdf;2015;;
Design (Design Gráﬁ co ou de Produto)- noturno - Bauru;60;5;0;1;3;;3;6;10;2015-45-56.pdf;2015;;
Design (Design Gráﬁ co)- diurno - Bauru;30;1;2;0;1;;2;3;10;2015-45-56.pdf;2015;;
Pedagogia (Lic) - noturno - Bauru;40;5;0;0;0;5;5;;11;2015-45-56.pdf;2015;;
Psicologia - integral - Bauru;35;1;1;2;1;3;4;;11;2015-45-56.pdf;2015;;
Arquitetura e Urbanismo - integral - Bauru;45;0;0;1;0;1;1;;12;2015-45-56.pdf;2015;;
Artes Visuais (Bac/Lic) - vespertino/noturno - Bauru;40;10;1;0;5;6;11;;12;2015-45-56.pdf;2015;;
Comunicação Social (Jornalismo) - diurno - Bauru;40;1;1;0;0;2;2;;12;2015-45-56.pdf;2015;;
Comunicação Social (Jornalismo) - noturno - Bauru;50;5;0;0;4;1;5;;12;2015-45-56.pdf;2015;;
Comunicação Social (Radialismo) - diurno - Bauru;30;1;0;2;2;1;3;;12;2015-45-56.pdf;2015;;
Comunicação Social (Relações Públicas) - noturno - Bauru;50;2;1;1;2;2;4;;12;2015-45-56.pdf;2015;;
Design (Design Gráﬁ co ou de Produto) - noturno - Bauru;60;6;2;0;5;3;8;;12;2015-45-56.pdf;2015;;
Design (Design Gráﬁ co) - diurno - Bauru;30;2;0;0;2;0;2;;12;2015-45-56.pdf;2015;;
Pedagogia (Lic) - noturno - Bauru;40;7;2;0;1;8;9;;13;2015-45-56.pdf;2015;;
Psicologia - integral - Bauru;35;2;0;1;0;3;3;;13;2015-45-56.pdf;2015;;
Psicologia - noturno - Bauru;35;4;0;0;3;1;4;;13;2015-45-56.pdf;2015;;
Ciências Biológicas (Bac/Lic) - integral - Bauru;40;33;2;5;0;12;28;40;1;2016-47-58.pdf;2016;;
Ciências Biológicas (Lic) - noturno - Bauru;40;32;7;1;0;21;19;40;1;2016-47-58.pdf;2016;;
Educação Física (Bac/Lic) - integral - Bauru;40;28;8;4;0;22;18;40;1;2016-47-58.pdf;2016;;
Educação Física (Bac/Lic) - noturno - Bauru;40;36;3;1;0;28;12;40;1;2016-47-58.pdf;2016;;
Ciências Biológicas (Bac/Lic) - integral - Bauru;40;0;0;1;0;1;1;;2;2016-47-58.pdf;2016;;
Ciências Biológicas (Lic) - noturno - Bauru;40;3;2;0;1;4;5;;2;2016-47-58.pdf;2016;;
Educação Física (Bac/Lic) - integral - Bauru;40;3;2;1;5;1;6;;2;2016-47-58.pdf;2016;;
Educação Física (Bac/Lic) - noturno - Bauru;40;7;1;1;7;2;9;;2;2016-47-58.pdf;2016;;
Ciências Biológicas (Bac/Lic) - integral - Bauru;40;10;0;2;2;10;12;;3;2016-47-58.pdf;2016;;
Ciências Biológicas (Lic) - noturno - Bauru;40;7;1;0;6;2;8;;3;2016-47-58.pdf;2016;;
Educação Física (Bac/Lic) - integral - Bauru;40;3;0;0;1;2;3;;3;2016-47-58.pdf;2016;;
Educação Física (Bac/Lic) - noturno - Bauru;40;2;0;0;1;1;2;;3;2016-47-58.pdf;2016;;
Ciência da Computação (Bac) - integral - Bauru;30;15;4;11;0;25;5;30;4;2016-47-58.pdf;2016;;
Engenharia Civil - integral - Bauru;60;29;16;15;0;33;27;60;4;2016-47-58.pdf;2016;;
Engenharia Elétrica - integral - Bauru;60;20;13;27;0;52;8;60;4;2016-47-58.pdf;2016;;
Engenharia Mecânica - integral - Bauru;60;16;13;31;0;51;9;60;4;2016-47-58.pdf;2016;;
Física (Lic - noturno) / (Bac em Física de Materiais - vespertino/noturno)  - Bauru;60;48;10;2;0;44;16;60;4;2016-47-58.pdf;2016;;
Matemática (Lic) - noturno - Bauru;40;35;3;5;-3;22;21;43;4;2016-47-58.pdf;2016;;
Meteorologia (Bac) - integral - Bauru;40;22;0;18;0;17;23;40;4;2016-47-58.pdf;2016;;
Bauru;;;;;;;;;4;2016-47-58.pdf;2016;;
Sistemas de Informação (Bac) - noturno - Bauru;40;26;8;6;0;33;7;40;4;2016-47-58.pdf;2016;;
Ciência da Computação (Bac) - integral - Bauru;30;2;1;1;3;1;4;;5;2016-47-58.pdf;2016;;
Engenharia Civil - integral - Bauru;60;3;2;0;2;3;5;;5;2016-47-58.pdf;2016;;
Engenharia Elétrica - integral - Bauru;60;3;0;1;4;0;4;;5;2016-47-58.pdf;2016;;
Engenharia Mecânica - integral - Bauru;60;2;0;1;3;0;3;;5;2016-47-58.pdf;2016;;
Física (Lic - noturno) / (Bac em Física de Materiais - vespertino/noturno)  - Bauru;60;5;4;0;7;2;9;;5;2016-47-58.pdf;2016;;
Matemática (Lic) - noturno - Bauru;40;5;1;0;3;3;6;;5;2016-47-58.pdf;2016;;
Meteorologia (Bac) - integral - Bauru;40;7;0;2;5;4;9;;5;2016-47-58.pdf;2016;;
Química (Bac em Química Ambiental Tecnológica / Lic em Química) - noturno - Bauru;40;8;0;0;4;4;8;;5;2016-47-58.pdf;2016;;
Sistemas de Informação (Bac) - noturno - Bauru;40;1;0;0;0;1;1;;5;2016-47-58.pdf;2016;;
Ciência da Computação (Bac) - integral - Bauru;30;3;1;2;4;2;6;;6;2016-47-58.pdf;2016;;
Engenharia Civil - integral - Bauru;60;5;3;2;9;1;10;;6;2016-47-58.pdf;2016;;
Engenharia Elétrica - integral - Bauru;60;5;2;2;8;1;9;;6;2016-47-58.pdf;2016;;
Engenharia Mecânica - integral - Bauru;60;2;3;1;6;0;6;;6;2016-47-58.pdf;2016;;
Física (Lic - noturno) / (Bac em Física de Materiais - vespertino/noturno)  - Bauru;60;9;4;1;11;3;14;;6;2016-47-58.pdf;2016;;
Matemática (Lic) - noturno - Bauru;40;7;0;1;5;3;8;;6;2016-47-58.pdf;2016;;
Meteorologia (Bac) - integral - Bauru;40;3;0;6;4;5;9;;6;2016-47-58.pdf;2016;;
Química (Bac em Química Ambiental Tecnológica / Lic em Química) - noturno - Bauru;40;7;0;0;3;4;7;;6;2016-47-58.pdf;2016;;
Sistemas de Informação (Bac) - noturno - Bauru;40;8;2;3;9;4;13;;6;2016-47-58.pdf;2016;;
Arquitetura e Urbanismo - integral - Bauru;45;31;5;9;0;16;;29;7;2016-47-58.pdf;2016;45;
Artes Visuais (Bac/Lic) - vespertino/noturno - Bauru;40;37;2;1;0;17;;23;7;2016-47-58.pdf;2016;40;
Comunicação Social (Jornalismo) - diurno - Bauru;40;21;6;13;0;14;;26;7;2016-47-58.pdf;2016;40;
Comunicação Social (Jornalismo) - noturno - Bauru;50;42;6;2;0;18;;32;7;2016-47-58.pdf;2016;50;
Comunicação Social (Radialismo) - diurno - Bauru;30;25;3;3;-1;10;;21;7;2016-47-58.pdf;2016;31;
Comunicação Social (Relações Públicas) - noturno - Bauru;50;40;5;5;0;12;;38;7;2016-47-58.pdf;2016;50;
Design (Design Gráﬁ co ou de Produto)- noturno - Bauru;60;57;2;2;-1;30;;31;7;2016-47-58.pdf;2016;61;
Design (Design Gráﬁ co)- diurno - Bauru;30;26;3;1;0;14;;16;7;2016-47-58.pdf;2016;30;
Pedagogia (Lic) - noturno - Bauru;40;34;4;2;0;3;37;40;8;2016-47-58.pdf;2016;;
Psicologia - integral - Bauru;35;20;6;9;0;12;23;35;8;2016-47-58.pdf;2016;;
Psicologia - noturno - Bauru;35;27;5;3;0;13;22;35;8;2016-47-58.pdf;2016;;
Arquitetura e Urbanismo - integral - Bauru;45;1;1;1;0;;3;3;9;2016-47-58.pdf;2016;;
Artes Visuais (Bac/Lic) - vespertino/noturno - Bauru;40;2;1;1;2;;2;4;9;2016-47-58.pdf;2016;;
Comunicação Social (Jornalismo) - diurno - Bauru;40;1;1;2;1;;3;4;9;2016-47-58.pdf;2016;;
