,DIVULGAÇÃO,_0,_1,metodo_ingresso,area,_2,_3,VAGAS,_4,_5,_6,CURSO,CHAMADA,SEXO,MATRÍCULAS,MATRICULADOS,_7
Odontologia - integral - Araçatuba,,40,18,regular,Humanas,11,11,0,15,25,40,,,,,,
Odontologia - integral - Araraquara,,75,26,regular,Humanas,25,24,0,15,60,75,,,,,,
Odontologia - integral - São José dos Campos,,40,14,regular,Humanas,13,13,0,14,26,40,,,,,,
Odontologia - vespertino/noturno - Araçatuba,,40,20,regular,Humanas,6,14,0,16,24,40,,,,,,
Odontologia - vespertino/noturno - São José dos Campos,,40,20,regular,Humanas,9,11,0,9,31,40,,,,,,
Terapia Ocupacional - integral - Marília,,40,27,regular,Humanas,5,8,0,2,38,40,,,,,,
Zootecnia - integral - Botucatu,,60,39,regular,Humanas,12,9,0,26,34,60,,,,,,
Zootecnia - integral - Dracena,,40,20,regular,Humanas,0,19,1,17,22,39,,,,,,
Zootecnia - integral - Ilha Solteira,,40,16,regular,Humanas,7,11,6,13,21,34,,,,,,
Zootecnia - integral - Jaboticabal,,50,32,regular,Humanas,12,5,1,18,31,49,,,,,,
TOTAL,,2210,1109,regular,Humanas,429,608,64,906,1240,2146,,,,,,
| 48 |,,,,regular,Humanas,,,,,,,,,,,,
,,RELAÇÃO,,convenio_se,Biológicas,,,,,,,,,,,,
,,,,convenio_se,Biológicas,TOTAL,,,,,,,,,,,
,,ADIC.,,convenio_se,Biológicas,,,,,,,,,,,,
L.E.,,,Fem.,convenio_se,Biológicas,,,,,,,,Conv.,Masc.,,,
2,,1,2,convenio_se,Biológicas,3,,50,,,,Ciências Biológicas - Bacharelado - Vespertino/Noturno e Licenciatura - noturno - Ilha Solteira,0,1,,,
3,,0,3,convenio_se,Biológicas,6,,40,,,,Ciências Biológicas - Bacharelado e Licenciatura - integral - Assis,3,3,,,
0,,1,1,convenio_se,Biológicas,3,,40,,,,Ciências Biológicas - Bacharelado e Licenciatura - integral - Bauru,2,2,,,
0,,0,1,convenio_se,Biológicas,4,,40,,,,Ciências Biológicas - Bacharelado e Licenciatura - integral - Botucatu,4,3,,,
1,,1,3,convenio_se,Biológicas,4,,40,,,,Ciências Biológicas - Bacharelado e Licenciatura - integral - Rio Claro,2,1,,,
0,,0,2,convenio_se,Biológicas,2,,50,,,,Ciências Biológicas - Bacharelado e Licenciatura - integral - São José do Rio Preto,2,0,,,
0,,1,2,convenio_se,Biológicas,6,,40,,,,Ciências Biológicas - Bacharelado e Licenciatura - noturno - Jaboticabal,5,4,,,
0,,0,1,convenio_se,Biológicas,2,,25,,,,Ciências Biológicas - Bacharelado e Licenciatura - noturno - Rio Claro,2,1,,,
,,,,convenio_se,Biológicas,,,,,,,Ciências Biológicas - Bacharelado em Biologia Marinha ou Gerenciamento Costeiro - integral -,,,,,
0,,1,3,convenio_se,Biológicas,4,,40,,,,,3,1,,,
,,,,convenio_se,Biológicas,,,,,,,São Vicente,,,,,
1,,1,4,convenio_se,Biológicas,6,,40,,,,Ciências Biológicas - Licenciatura - noturno - Bauru,4,2,,,
0,,3,4,convenio_se,Biológicas,7,,40,,,,Ciências Biológicas - Licenciatura - noturno - Botucatu,4,3,,,
0,,1,1,convenio_se,Biológicas,2,,40,,,,Ciências Biológicas - Licenciatura - noturno - São Vicente,1,1,,,
0,,5,4,convenio_se,Biológicas,6,,40,,,,Ciências Biomédicas - integral - Botucatu,1,2,,,
0,,3,2,convenio_se,Biológicas,3,,30,,,,Ecologia - integral - Rio Claro,0,1,,,
0,,1,0,convenio_se,Biológicas,1,,20,,,,Educação Física - Bacharelado - integral - Bauru,0,1,,,
1,,1,1,convenio_se,Biológicas,5,,20,,,,Educação Física - Bacharelado - noturno - Bauru,3,4,,,
1,,0,1,convenio_se,Biológicas,3,,45,,,,Educação Física - Bacharelado e Licenciatura - integral - Presidente Prudente,2,2,,,
2,,2,2,convenio_se,Biológicas,8,,60,,,,Educação Física - Bacharelado e Licenciatura - integral - Rio Claro,4,6,,,
1,,2,2,convenio_se,Biológicas,5,,45,,,,Educação Física - Bacharelado e Licenciatura - vespertino/noturno - Presidente Prudente,2,3,,,
1,,1,1,convenio_se,Biológicas,5,,20,,,,Educação Física - Licenciatura - integral - Bauru,3,4,,,
1,,1,3,convenio_se,Biológicas,3,,20,,,,Educação Física - Licenciatura - noturno - Bauru,1,0,,,
1,,1,1,convenio_se,Biológicas,2,,30,,,,Enfermagem - integral - Botucatu,0,1,,,
4,,7,5,convenio_se,Biológicas,15,,80,,,,Engenharia Agronômica - integral - Botucatu,4,10,,,
1,,2,4,convenio_se,Biológicas,11,,40,,,,Engenharia Agronômica - integral - Dracena,8,7,,,
0,,1,2,convenio_se,Biológicas,5,,40,,,,Engenharia Agronômica - integral - Ilha Solteira,4,3,,,
4,,1,8,convenio_se,Biológicas,19,,100,,,,Engenharia Agronômica - integral - Jaboticabal,14,11,,,
2,,3,7,convenio_se,Biológicas,9,,40,,,,Engenharia Agronômica - integral - Registro,4,2,,,
0,,1,2,convenio_se,Biológicas,6,,40,,,,Engenharia Agronômica - integral (com ingresso no meio do ano) - Ilha Solteira,5,4,,,
0,,0,0,convenio_se,Biológicas,0,,40,,,,Engenharia de Pesca - integral - Registro,0,0,,,
1,,2,4,convenio_se,Biológicas,6,,40,,,,Engenharia Florestal - integral - Botucatu,3,2,,,
1,,4,8,convenio_se,Biológicas,10,,70,,,,Farmácia - integral - Araraquara,5,2,,,
1,,0,0,convenio_se,Biológicas,1,,30,,,,Farmácia - noturno - Araraquara,0,1,,,
1,,2,5,convenio_se,Biológicas,7,,40,,,,Fisioterapia - integral - Marília,4,2,,,
1,,0,2,convenio_se,Biológicas,3,,45,,,,Fisioterapia - integral - Presidente Prudente,2,1,,,
1,,2,4,convenio_se,Biológicas,4,,35,,,,Fonoaudiologia - integral - Marília,1,0,,,
0,,0,0,convenio_se,Biológicas,0,,90,,,,Medicina - integral - Botucatu,0,0,,,
1,,2,2,convenio_se,Biológicas,4,,60,,,,Medicina Veterinária - integral - Araçatuba,1,2,,,
0,,0,0,convenio_se,Biológicas,2,,60,,,,Medicina Veterinária - integral - Botucatu,2,2,,,
0,,1,3,convenio_se,Biológicas,3,,50,,,,Medicina Veterinária - integral - Jaboticabal,2,0,,,
1,,1,2,convenio_se,Biológicas,2,,30,,,,Nutrição - vespertino/noturno - Botucatu,0,0,,,
0,,1,2,convenio_se,Biológicas,4,,40,,,,Odontologia - integral - Araçatuba,3,2,,,
2,,2,6,convenio_se,Biológicas,6,,75,,,,Odontologia - integral - Araraquara,2,0,,,
1,,0,1,convenio_se,Biológicas,2,,40,,,,Odontologia - integral - São José dos Campos,1,1,,,
0,,0,1,convenio_se,Biológicas,3,,40,,,,Odontologia - vespertino/noturno - Araçatuba,3,2,,,
1,,0,2,convenio_se,Biológicas,2,,40,,,,Odontologia - vespertino/noturno - São José dos Campos,1,0,,,
0,,0,5,convenio_se,Biológicas,5,,40,,,,Terapia Ocupacional - integral - Marília,5,0,,,
0,,3,10,convenio_se,Biológicas,12,,60,,,,Zootecnia - integral - Botucatu,9,2,,,
0,,6,10,convenio_se,Biológicas,14,,40,,,,Zootecnia - integral - Dracena,8,4,,,
1,,1,1,convenio_se,Biológicas,2,,40,,,,Zootecnia - integral - Ilha Solteira,0,1,,,
2,,0,9,convenio_se,Biológicas,9,,50,,,,Zootecnia - integral - Jaboticabal,7,0,,,
41,,69,149,convenio_se,Biológicas,256,,2210,,,,TOTAL,146,107,,,
CURSO,,VAGAS,CHAMADA,convenio_se,Exatas,,SEXO,,,,,,,,,,
,,,,convenio_se,Exatas,RELAÇÃO,,,,,,,,,,,
,,,,convenio_se,Exatas,,,,TOTAL,,,,,,,,
,,,,convenio_se,Exatas,ADIC.,,,,,,,,,,,
,,,Conv.,convenio_se,Exatas,,Masc.,,,,,,,,L.E.,Fem.,
Ciências Biológicas - Bacharelado - Vespertino/Noturno e Licenciatura - noturno - Ilha Solteira,,50,7,convenio_se,Exatas,5,0,,12,,,,,,0,12,
Ciências Biológicas - Bacharelado e Licenciatura - integral - Assis,,40,5,convenio_se,Exatas,2,3,,7,,,,,,0,4,
