0,1,2,3,4,5,6,7,8
,,,MATRÍCULAS,,,MATRICULADOS,,
CURSO,VAGAS,CHAMADA,,,SEXO,,,
,,,,RELAÇÃO,,,,
,,,,,,,TOTAL,
,,,,ADIC.,,,,
,,Conv.,L.E.,,Masc.,Fem.,,
Engenharia de Materiais - integral - Guaratinguetá,40,16,7,9,8,13,19,32
Engenharia de Produção - integral - Guaratinguetá,30,8,6,20,-4,20,14,34
Engenharia de Produção - vespertino/noturno - Bauru,40,8,10,22,0,25,15,40
Engenharia de Produção - vespertino/noturno - Itapeva,40,24,6,7,3,22,15,37
Engenharia Elétrica - integral - Bauru,60,19,12,29,0,55,5,60
Engenharia Elétrica - integral - Guaratinguetá,40,16,7,19,-2,32,10,42
Engenharia Elétrica - integral - Ilha Solteira,40,22,7,5,6,30,4,34
Engenharia Elétrica - integral (com ingresso no meio do ano) - Ilha Solteira,40,29,0,8,3,35,2,37
Engenharia Eletrônica e de Telecomunicações - integral - São João da Boa Vista,40,17,6,10,7,22,11,33
Engenharia Industrial-Madeira - integral - Itapeva,40,10,0,4,26,10,4,14
Engenharia Mecânica - integral - Bauru,60,11,9,40,0,51,9,60
Engenharia Mecânica - integral - Guaratinguetá,60,33,9,17,1,49,10,59
Engenharia Mecânica - integral - Ilha Solteira,40,26,7,7,0,33,7,40
Engenharia Mecânica - integral (com ingresso no meio do ano) - Ilha Solteira,40,32,5,3,0,32,8,40
Engenharia Mecânica - noturno - Guaratinguetá,30,21,4,9,-4,23,11,34
Engenharia Química - integral - Araraquara,40,7,8,21,4,24,12,36
Estatística - integral - Presidente Prudente,30,14,5,4,7,16,7,23
Física - Bacharelado e Licenciatura - integral - Rio Claro,40,11,13,11,5,27,8,35
Física - Bacharelado e Licenciatura - noturno - Guaratinguetá,40,25,9,8,-2,32,10,42
Física - Bacharelado em Física Biológica e Licenciatura em Física - integral - São,,,,,,,,
,50,19,0,2,29,15,6,21
José do Rio Preto,,,,,,,,
Física - Bacharelado em Física de Materiais - vespertino/noturno e Licenciatura em,,,,,,,,
,60,40,0,14,6,38,16,54
Física - noturno - Bauru,,,,,,,,
Física - Licenciatura - noturno - Ilha Solteira,30,11,0,1,18,8,4,12
Física - Licenciatura - noturno - Presidente Prudente,30,16,0,1,13,14,3,17
Física Médica - integral - Botucatu,40,12,10,13,5,16,19,35
Geologia - integral - Rio Claro,35,20,6,8,1,22,12,34
Matemática - Bacharelado e Licenciatura - integral - Rio Claro,40,16,9,8,7,22,11,33
Matemática - Bacharelado e Licenciatura - integral - São José do Rio Preto,55,25,4,5,21,19,15,34
Matemática - Licenciatura - matutino - Presidente Prudente,40,7,0,0,33,5,2,7
Matemática - Licenciatura - noturno - Bauru,40,24,7,7,2,20,18,38
Matemática - Licenciatura - noturno - Guaratinguetá,30,16,2,4,8,9,13,22
Matemática - Licenciatura - noturno - Ilha Solteira,30,8,0,1,21,6,3,9
Matemática - Licenciatura - noturno - Presidente Prudente,50,24,0,0,26,16,8,24
Matemática - Licenciatura - noturno - São José do Rio Preto,45,29,5,3,8,17,20,37
Meteorologia - Bacharelado - integral - Bauru,40,7,0,3,30,6,4,10
Química - Bacharelado em Química Ambiental e Licenciatura em Química - integral,,,,,,,,
,50,30,10,5,5,18,27,45
- São José do Rio Preto,,,,,,,,
Química - Bacharelado em Química e em Química Tecnológica - integral - Araraquara,50,11,12,27,0,19,31,50
Química - Bacharelado em Química Tecnológica - vespertino-noturno - Bauru,20,9,6,5,0,9,11,20
Química - Licenciatura - noturno - Araraquara,30,16,4,10,0,13,17,30
Química - Licenciatura - noturno - Bauru,20,9,5,5,1,9,10,19
Química - Licenciatura - noturno - Presidente Prudente,40,33,1,0,6,21,13,34
Sistemas de Informação - Bacharelado - noturno - Bauru,40,24,5,10,1,30,9,39
TOTAL,2505,1094,361,639,411,1352,742,2094
,,,,,,,,| 51 |
