0,1,2,3,4,5,6,7,8,9
CURSO,VAGAS,CHAMADA,,,SEXO,,,,
,,,,RELAÇÃO,,,,,
,,,,,,,TOTAL,,
,,,,ADIC.,,,,,
,,Conv.,L.E.,,Masc.,Fem.,,,
Arquitetura e Urbanismo - integral - Bauru,45,29,5,10,1,12,,32,44
Arquitetura e Urbanismo - integral - Presidente Prudente,40,30,3,5,2,13,,25,38
Arquivologia - matutino - Marília,30,4,0,0,26,2,,2,4
Artes Cênicas - Bacharelado - Habilitação em Interpretação Teatral -,,,,,,,,,
,30,21,5,4,0,13,,17,30
integral - São Paulo,,,,,,,,,
Artes Visuais - Bacharelado e Licenciatura - integral - São Paulo,40,28,4,8,0,14,,26,40
Artes Visuais - Bacharelado e Licenciatura - vespertino/noturno - Bauru,40,31,4,4,1,7,,32,39
Arte-Teatro - Licenciatura - noturno - São Paulo,30,26,3,0,1,11,,18,29
Biblioteconomia - matutino - Marília,35,10,2,0,23,4,,8,12
Ciências Econômicas - Bacharelado - integral - Araraquara,50,6,12,31,1,33,,16,49
Ciências Econômicas - Bacharelado - noturno - Araraquara,50,18,7,23,2,36,,12,48
Ciências Sociais - Bacharelado e Licenciatura - matutino - Araraquara,50,19,18,13,0,23,,27,50
Ciências Sociais - Bacharelado e Licenciatura - matutino - Marília,50,29,0,13,8,18,,24,42
Ciências Sociais - Bacharelado e Licenciatura - noturno - Araraquara,50,34,10,7,-1,27,,24,51
Ciências Sociais - Bacharelado e Licenciatura - noturno - Marília,50,35,4,8,3,19,,28,47
"Comunicação: Rádio, Televisão e Internet - integral - Bauru",30,14,5,11,0,17,,13,30
Design (Design Gráﬁ co ou Design de Produto) - noturno - Bauru,60,49,8,3,0,22,,38,60
Design (Design Gráﬁ co) - integral - Bauru,30,23,3,4,0,4,,26,30
Direito - matutino - Franca,60,11,12,34,3,29,,28,57
Direito - noturno - Franca,60,27,11,20,2,26,,32,58
Filosoﬁ a - Bacharelado e Licenciatura - noturno - Marília,35,19,4,8,4,20,,11,31
Geograﬁ a - Bacharelado e Licenciatura - integral - Rio Claro,40,19,13,7,1,25,,14,39
Geograﬁ a - Bacharelado e Licenciatura - matutino - Ourinhos,40,7,0,1,32,5,,3,8
Geograﬁ a - Bacharelado e Licenciatura - matutino - Presidente Prudente,40,18,0,7,15,14,,11,25
Geograﬁ a - Bacharelado e Licenciatura - noturno - Ourinhos,40,13,0,0,27,8,,5,13
Geograﬁ a - Bacharelado e Licenciatura - noturno - Presidente Prudente,45,30,0,6,9,20,,16,36
Geograﬁ a - Licenciatura - noturno - Rio Claro,40,18,0,3,19,7,,14,21
História - Bacharelado e Licenciatura - matutino - Franca,50,16,9,22,3,20,,27,47
História - Bacharelado e Licenciatura - noturno - Franca,50,25,10,13,2,29,,19,48
História - Licenciatura - matutino - Assis,45,34,7,3,1,21,,23,44
História - Licenciatura - noturno - Assis,45,32,8,4,1,20,,24,44
Jornalismo - matutino - Bauru,40,18,9,12,1,13,,26,39
Jornalismo - noturno - Bauru,50,33,9,7,1,24,,25,49
Letras - Bacharelado e Licenciatura - matutino - Araraquara,60,24,17,19,0,16,,44,60
Letras - Bacharelado e Licenciatura - noturno - Araraquara,60,40,11,9,0,25,,35,60
Letras - Licenciatura - integral - São José do Rio Preto,34,22,6,8,-2,13,,23,36
Letras - Licenciatura - matutino - Assis,70,26,0,25,19,9,,42,51
Letras - Licenciatura - noturno - Assis,70,49,0,13,8,19,,43,62
Letras - Licenciatura - noturno - São José do Rio Preto,39,25,5,8,1,16,,22,38
Letras-Tradução - Bacharelado - integral - São José do Rio Preto,32,24,4,5,-1,8,,25,33
